owner,groupId,totalAmount
0xd9E6A7B4fE36077498A174f4beCcD957cb21Ed30,100,100000000.00000000
0x73ffdbCab4Bd9547Ba7c31f3b349B3C6C19E8822,100,50000000.00000000
0x73ffdbCab4Bd9547Ba7c31f3b349B3C6C19E8822,100,850000000.00000000
0xDC6B5EB88c86149a60Dd96C61e0C2eb9d70c9E3A,200,26551640.00000000
0x711cE5F3560b1805dEF1B8a7B6847192532B3D47,200,31371474.00000000
0xe68Eab38166624e87F9E365680baff74B54FE6CC,200,6666666.00000000
0xc647550A29e66DF1d748B5eE7087d77Bd46f8C37,200,37259670.00000000
0xB875D34f274CdBd9620105FEe1598bB5cD956787,200,6866080.00000000
0x21F3859B86faDB0863C7D176693730958a1069Cf,200,26675764.00000000
0x50b81324163c633b55df9190B1622c19708aACeA,200,1035284.00000000
0x87b5ef19AcBd9Ee1035025EC98b722cD60d082c3,200,86521200.00000000
0x16DF16C958d60c56333A2D9F6ECc4537cfE8c72C,200,40588082.00000000
0x26C8105DAD6E9aDe4f8D5dA0C10Ca79534A734b6,200,13824182.00000000
0x344eDc5c372232622462B2cD4916Fd3EB8D43b2E,200,987024.00000000
0xc9b053DD544Db121273593C11b97bC55EEE46170,200,1980240.00000000
0x90998260F82D91059ac23a6009F64b25317D6718,200,2000000.00000000
0x685BF671a7Fc6EF595cB4928266dde6fd74d6AB0,200,2002088.00000000
0xec8B9b456cF7Ad880Ed1b365c2b93fE217bB4699,200,10000000.00000000
0x9b09Ef8A3CaA8F5C5a3840afd09dCdDBB8f79a11,200,3000000.00000000
0x5BC0F5662C2bB31f53252d40abf05B41F307b267,200,11220320.00000000
0x191C466Ee1f5F5482dfdDDa85935642Dd3f6b1d8,200,2000000.00000000
0xBEDe78D9eDF2e28042FF861E3A6cB93292af3B20,200,200000000.00000000
0x639a3A7C0e4255297419C6E04156B2CF6b3B56Ea,200,140000000.00000000
0x3E0d615F6CeeB7c87Ee3B22f3E516DcE1C10B330,200,119603747.00000000
0xdF410962Deb20c386A415BCe1b0AbACA17cD431A,200,8000000.00000000
0x6da32Be6B09064e226758CA2b350c08f75E5977b,200,500000.00000000
0xDa8869E7F7A8D4cA2Ef128D660C088af331B5Aa8,200,2000000.00000000
0x6622CE843C7cE06ea435A10C4Dd60257AD1b968c,200,5000000.00000000
0x070dF232e180DF14e6E253B37ea7c705fEB3Ed58,200,1500000.00000000
0xeBbF28a440AA49075721C69F0A4Ba5503064959f,200,2000000.00000000
0x33a7f79b4B5CF50bCDA7bAdD54E0317858b475dc,200,500000.00000000
0xdB487d58C336273046d7930F0aBC3e8E280a0DED,200,400000.00000000
0x9e4bF5B75E828B55f5220561079885762FE484BD,200,2000000.00000000
0xF3130F9C203ff6Bcaeb60D1c68fC9875D0725BdB,200,1000000.00000000
0x8De026D4CDFB99C6A07ecb0B1755c149E4980733,200,10100000.00000000
0x8De026D4CDFB99C6A07ecb0B1755c149E4980733,200,5000000.00000000
0x9b09Ef8A3CaA8F5C5a3840afd09dCdDBB8f79a11,200,127643877.00000000
0x33a7f79b4B5CF50bCDA7bAdD54E0317858b475dc,200,500000.00000000
